Generation,Fitness,R2,Complexity,Equation
0,20.330095380341195,0.12878398686104542,2,omega**2
1,10.638545442804574,0.6109520833059032,12,4.15623339937891/(0.210769908047312*exp(omega_0/omega) - 0.846158919983589)
2,7.382895217495227,0.6753419075367881,16,262.389768492955*Ef*exp(-2*omega_0/omega)
3,6.431307603152224,0.7246740729690317,22,1697.16992238019*Ef*exp(-3*omega_0/omega)
4,6.431307602424109,0.7246740506248157,23,1697.16943380046*Ef*exp(-3*omega_0/omega)
5,6.431307602424097,0.72467405069867,23,1697.16943538629*Ef*exp(-3*omega_0/omega)
6,6.407420542153714,0.7254472428692365,37,1672.67769676272*Ef*exp(-2*omega_0/omega)*exp(0.000370848293957168*exp(2*omega_0/omega) - omega_0/omega)
7,6.407420481719023,0.7254474314478339,38,1672.69356930819*Ef*exp(-2*omega_0/omega)*exp(0.000370645431887083*exp(2*omega_0/omega) - omega_0/omega)
8,6.391091216185118,0.7250438720300671,29,1415.41400575287*Ef*exp(-2*omega_0/omega)*exp(0.0292803362483895*exp(omega_0/omega) - omega_0/omega)
9,6.323350524394558,0.7275012036302029,50,1590.91906049203*Ef*exp(-2*omega_0/omega)*exp(0.000323929175051956*exp(2*omega_0/omega)*exp(-0.0528850086741164*exp(omega_0/omega) + omega_0/omega) - omega_0/omega)
10,6.322637462935695,0.7277424243380539,50,1599.09979933738*Ef*exp(-2*omega_0/omega)*exp(0.000308116901410769*exp(2*omega_0/omega)*exp(-0.0533720843607582*exp(omega_0/omega) + omega_0/omega) - omega_0/omega)
11,6.274998627692676,0.7316939884576726,47,2479.9149552343*Ef*omega*exp(-2*omega_0/omega)*exp(0.00630196468558443*exp(omega_0/omega)*exp(-0.0250261237862492*exp(omega_0/omega) + omega_0/omega) - omega_0/omega)/omega_0
12,6.241496039693782,0.7310681699749721,47,2332.85015804261*Ef*omega*exp(-2*omega_0/omega)*exp(0.00796392534511444*exp(omega_0/omega)*exp(-0.0332439238538915*exp(omega_0/omega) + omega_0/omega) - omega_0/omega)/omega_0
13,6.237625207148043,0.7314716979725713,47,2290.43896742595*Ef*omega*exp(-2*omega_0/omega)*exp(0.00893988363937197*exp(omega_0/omega)*exp(-0.0365376562613782*exp(omega_0/omega) + omega_0/omega) - omega_0/omega)/omega_0
14,6.237621672138632,0.7314835961403381,47,2292.57162042966*Ef*omega*exp(-2*omega_0/omega)*exp(0.00890312797356067*exp(omega_0/omega)*exp(-0.0364021287805849*exp(omega_0/omega) + omega_0/omega) - omega_0/omega)/omega_0
15,6.226828429558589,0.7319268144746834,48,6175.8405099683*Ef*exp(-3*omega_0/omega)*exp(0.0169983831457531*exp(omega_0/omega)*exp(-0.0440016017292779*exp(omega_0/omega) + omega_0/omega) - omega_0/omega)
16,6.222516328109802,0.7321000867560984,48,6220.12573095529*Ef*exp(-3*omega_0/omega)*exp(0.0168203668612787*exp(omega_0/omega)*exp(-0.0450765720090669*exp(omega_0/omega) + omega_0/omega) - omega_0/omega)
17,6.2219890487384415,0.7320611972493527,48,6144.05947836413*Ef*exp(-3*omega_0/omega)*exp(0.0174598824634403*exp(omega_0/omega)*exp(-0.0468432530883907*exp(omega_0/omega) + omega_0/omega) - omega_0/omega)
18,6.221988529889001,0.7320608058278784,48,6146.13976346078*Ef*exp(-3*omega_0/omega)*exp(0.0174404838231147*exp(omega_0/omega)*exp(-0.0467891407066538*exp(omega_0/omega) + omega_0/omega) - omega_0/omega)
19,6.221988529880641,0.7320608099877313,46,6146.14342266319*Ef*exp(-3*omega_0/omega)*exp(0.0174404535970987*exp(-0.0467890581894523*exp(omega_0/omega) + 2*omega_0/omega) - omega_0/omega)
20,6.082927146305346,0.7804197681760501,50,4300.91470532921*c*r*exp(-3*omega_0/omega)*exp(0.0158933239479006*exp(omega_0/omega)*exp(-0.0453645115347993*exp(omega_0/omega) + omega_0/omega) - omega_0/omega)
21,6.078636338034817,0.7804505391529584,50,4248.62436382611*c*r*exp(-3*omega_0/omega)*exp(0.0162006085178996*exp(omega_0/omega)*exp(-0.0442534286338944*exp(omega_0/omega) + omega_0/omega) - omega_0/omega)
22,6.078614752957725,0.7804719128954054,50,4258.85132569706*c*r*exp(-3*omega_0/omega)*exp(0.0160844480179117*exp(omega_0/omega)*exp(-0.0439232586844205*exp(omega_0/omega) + omega_0/omega) - omega_0/omega)
23,6.078614745630283,0.7804715781608658,48,4258.701650173*c*r*exp(0.0160860824720107*exp(omega_0/omega)*exp(-0.0439277646456666*exp(omega_0/omega) + omega_0/omega) - 4*omega_0/omega)
24,6.078614745629562,0.7804715726306913,48,4258.70146861658*c*r*exp(0.0160860774092543*exp(omega_0/omega)*exp(-0.0439277354554414*exp(omega_0/omega) + omega_0/omega) - 4*omega_0/omega)
25,6.078614745629562,0.7804715726306913,48,4258.70146861658*c*r*exp(0.0160860774092543*exp(omega_0/omega)*exp(-0.0439277354554414*exp(omega_0/omega) + omega_0/omega) - 4*omega_0/omega)
26,6.078614745629561,0.7804715726362353,50,4258.70146861658*c*r*exp(0.0160860774092543*exp(omega_0/omega)*exp(-0.0439277354554414*exp(omega_0/omega) + omega_0/omega) - 4*omega_0/omega)
27,6.078614745629561,0.7804715726362353,50,4258.70146861658*c*r*exp(0.0160860774092543*exp(omega_0/omega)*exp(-0.0439277354554414*exp(omega_0/omega) + omega_0/omega) - 4*omega_0/omega)
28,6.078614745629561,0.7804715726196032,44,4258.70146861658*c*r*exp(0.0160860774092543*exp(omega_0/omega)*exp(-0.0439277354554414*exp(omega_0/omega) + omega_0/omega) - 4*omega_0/omega)
29,6.078614745629561,0.7804715726196032,44,4258.70146861658*c*r*exp(0.0160860774092543*exp(omega_0/omega)*exp(-0.0439277354554414*exp(omega_0/omega) + omega_0/omega) - 4*omega_0/omega)
30,6.078614745629561,0.7804715726536703,50,4258.70146861658*c*r*exp(0.0160860774092543*exp(omega_0/omega)*exp(-0.0439277354554414*exp(omega_0/omega) + omega_0/omega) - 4*omega_0/omega)
31,6.078614745629561,0.7804715726536703,50,4258.70146861658*c*r*exp(0.0160860774092543*exp(omega_0/omega)*exp(-0.0439277354554414*exp(omega_0/omega) + omega_0/omega) - 4*omega_0/omega)
32,6.078614745629561,0.780471572631494,42,4258.70146861658*c*r*exp(0.0160860774092543*exp(omega_0/omega)*exp(-0.0439277354554414*exp(omega_0/omega) + omega_0/omega) - 4*omega_0/omega)
33,6.078614745629561,0.780471572631494,42,4258.70146861658*c*r*exp(0.0160860774092543*exp(omega_0/omega)*exp(-0.0439277354554414*exp(omega_0/omega) + omega_0/omega) - 4*omega_0/omega)
34,6.07861474561281,0.780471572600861,46,4258.70146861658*c*r*exp(0.0160860774092543*exp(-0.0439277354554414*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
35,6.07861474561281,0.780471572600861,46,4258.70146861658*c*r*exp(0.0160860774092543*exp(-0.0439277354554414*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
36,6.07861474561281,0.780471572595317,44,4258.70146861658*c*r*exp(0.0160860774092543*exp(-0.0439277354554414*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
37,6.07861474561281,0.780471572595317,44,4258.70146861658*c*r*exp(0.0160860774092543*exp(-0.0439277354554414*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
38,6.07861474561281,0.780471572595317,44,4258.70146861658*c*r*exp(0.0160860774092543*exp(-0.0439277354554414*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
39,6.07861474561281,0.780471572595317,44,4258.70146861658*c*r*exp(0.0160860774092543*exp(-0.0439277354554414*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
40,6.07861474561281,0.780471572600861,48,4258.70146861658*c*r*exp(0.0160860774092543*exp(-0.0439277354554414*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
41,6.07861474561281,0.780471572600861,48,4258.70146861658*c*r*exp(0.0160860774092543*exp(-0.0439277354554414*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
42,0.44784067547349293,0.9820750533341748,41,687.717912491651*Ef**2*c*epsilon*r**2*exp(0.0879970861532236*exp(omega_0/omega) - 4*omega_0/omega)
43,0.2511176195202596,0.9891476894158813,41,162.581597144326*Ef**2*c*epsilon*r**2*exp(0.0317338845277764*exp(omega_0/omega) - 3*omega_0/omega)
44,0.04269365778633931,0.9980963392813104,50,718.594376112646*Ef**2*c*epsilon*r**2*exp(0.0171326851940966*exp(-0.0451487534062444*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
45,0.04186499871384361,0.9981316305846587,50,712.344254089141*Ef**2*c*epsilon*r**2*exp(0.0176855725821628*exp(-0.0469759005799016*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
46,0.04186442941642498,0.998131494310591,50,712.351499341568*Ef**2*c*epsilon*r**2*exp(0.0176799612177106*exp(-0.046944748343327*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
47,0.04186440345145038,0.9981315094164775,50,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
48,0.04186440345145038,0.9981315094164775,50,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
49,0.04186440345145038,0.9981315094164775,50,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
50,0.04186440345145031,0.9981315094165922,48,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
51,0.04186440345145031,0.9981315094165922,48,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
52,0.04186440345145028,0.9981315094165922,49,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
53,0.04186440345145028,0.9981315094165922,49,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
54,0.04186440345145028,0.9981315094165922,49,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
55,0.04186440345145028,0.9981315094165922,49,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
56,0.04186440345145028,0.9981315094165922,49,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
57,0.04186440345145028,0.9981315094165922,49,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
58,0.04186440345145028,0.9981315094165922,49,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
59,0.04186440345145026,0.9981315094145522,47,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
60,0.04186440345145026,0.9981315094145522,47,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
61,0.04186440345145026,0.9981315094145522,47,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
62,0.04186440345145025,0.9981315094145522,50,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
63,0.04186440345145025,0.9981315094145522,50,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
64,0.04186440345145021,0.9981315094145522,49,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
65,0.04186440345145021,0.9981315094145522,49,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
66,0.04186440345145021,0.9981315094145522,49,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
67,0.04186440345145021,0.9981315094145522,49,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
68,0.04186440345145021,0.9981315094145522,49,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
69,0.04186440345145021,0.9981315094145522,49,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
70,0.04186440345145021,0.9981315094145522,49,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
71,0.04186440345145021,0.9981315094145522,49,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
72,0.04186440345145021,0.9981315094145522,49,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
73,0.04186440345145021,0.9981315094145522,49,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
74,0.04186440345145021,0.9981315094145522,50,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
75,0.04186440345145021,0.9981315094145522,50,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
76,0.04186440345145021,0.9981315094145522,50,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
77,0.04186440345145021,0.9981315094145522,50,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
78,0.04186440345145021,0.9981315094145522,50,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
79,0.04186440345145021,0.9981315094145522,50,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
80,0.04186440345145021,0.9981315094145522,50,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
81,0.04186440345145021,0.9981315094145522,50,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
82,0.04186440345145021,0.9981315094145522,50,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
83,0.04186440345145021,0.9981315094145522,50,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
84,0.04186440345145021,0.9981315094145522,50,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
85,0.04186440345145021,0.9981315094145522,50,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
86,0.04186440345145021,0.9981315094145522,50,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
87,0.04186440345145021,0.9981315094145522,50,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
88,0.04186440345145021,0.9981315094145522,50,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
89,0.04186440345145021,0.9981315094145522,50,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
90,0.04186440345145021,0.9981315094145522,50,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
91,0.04186440345145021,0.9981315094145522,50,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
92,0.04186440345145021,0.9981315094145522,50,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
93,0.04186440345145021,0.9981315094145522,50,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
94,0.04186440345145021,0.9981315094145522,50,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
95,0.04186440345145021,0.9981315094145522,50,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
96,0.04186440345145021,0.9981315094145522,50,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
97,0.04186440345145021,0.9981315094145522,50,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
98,0.04186440345145021,0.9981315094145522,50,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
99,0.04186440345145021,0.9981315094145522,50,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
100,0.04186440345145021,0.9981315094145522,50,712.410115825946*Ef**2*c*epsilon*r**2*exp(0.01767679736874*exp(-0.0469366324312478*exp(omega_0/omega) + 2*omega_0/omega) - 4*omega_0/omega)
