record_type,equation,noise,trial,mode,condition,gen,fitness,avg_fit,r2,complexity,solved,best_found,wall_time_s
gen_log,I.29.16,0.01,0,hybrid,hybrid,0,3.738972361417823,8.879244694915174e+81,-8.648576642320878,,,-1.97226657339849,
gen_log,I.29.16,0.01,0,hybrid,hybrid,1,3.004562491938557,5.785595226092732,-33.76716103866553,,,2.42049596157541*x1 + 2.42049596157541*x2,
gen_log,I.29.16,0.01,0,hybrid,hybrid,2,0.829185514722959,9.424398856304295,0.7666010573125296,,,sqrt(x1*x2*(theta1 - theta2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,3,0.4754318403452307,3.051104254939269,0.8681148497938571,,,1.19184561146795*sqrt(x1*x2*(theta1 - theta2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,4,0.4754318403452287,2.397943004374375,0.8681148497938572,,,1.19184561146795*sqrt(x1*x2*(theta1 - theta2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,5,0.45412992391625123,1.2307882917254716,0.7812468800504766,,,sqrt(x2*(theta1 - theta2)*(1.06667074857715*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,6,0.45391992764222827,1.2778423303747408,0.7812468800504766,,,sqrt(x2*(theta1 - theta2)*(1.06667074857715*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,7,0.4129098473353588,0.7170771342319787,0.7518672683903578,,,sqrt((theta1 - theta2)*(0.0666707485771479*x1 + x2)*(1.06667074857715*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,8,0.4129098473353588,0.9831668922945865,0.7518672683903578,,,sqrt((theta1 - theta2)*(0.0666707485771479*x1 + x2)*(1.06667074857715*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,9,0.34921598589119723,0.7268465125688278,0.37876262796689086,,,sqrt((theta1 - theta2)*(0.0666707485771479*x1 + x2)*(0.0666707485771479*x1 + 1.65147745278221*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,10,0.33789652792253694,0.6285503256349212,0.37040056510752983,,,sqrt((theta1 - theta2)*(0.58480670420506*x1 + 0.58480670420506*x2)*(x1 + x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,11,0.33789084773836536,0.6318564190929681,0.41911669189039735,,,sqrt((theta1 - theta2)*(0.557125456370198*x1 + 0.58480670420506*x2)*(x1 + x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,12,0.33789084773836536,0.9764069174539175,0.41911669189039735,,,sqrt((theta1 - theta2)*(0.557125456370198*x1 + 0.58480670420506*x2)*(x1 + x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,13,0.33789082286511235,0.6754636662952205,0.29867956476245416,,,sqrt((theta1 - theta2)*(0.623796204947346*x1 + 0.58480670420506*x2)*(x1 + x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,14,0.3378908228639992,0.7018348709262909,0.29867956476245416,,,sqrt((theta1 - theta2)*(0.623796204947346*x1 + 0.58480670420506*x2)*(x1 + x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,15,0.3378904467484207,0.6602542828872315,0.9062127787118641,,,sqrt((theta1 - theta2)*(0.557125456370198*x1 + 0.58480670420506*x2)**2),
gen_log,I.29.16,0.01,0,hybrid,hybrid,16,0.3378904467484207,0.5894285835255861,0.9062127787118641,,,sqrt((theta1 - theta2)*(0.557125456370198*x1 + 0.58480670420506*x2)**2),
gen_log,I.29.16,0.01,0,hybrid,hybrid,17,0.3378903959764828,0.7625915575662191,0.9062127787118641,,,sqrt((theta1 - theta2)*(0.557125456370198*x1 + 0.58480670420506*x2)**2),
gen_log,I.29.16,0.01,0,hybrid,hybrid,18,0.3378903959764828,0.4849077328857585,0.9062127787118641,,,sqrt((theta1 - theta2)*(0.557125456370198*x1 + 0.58480670420506*x2)**2),
gen_log,I.29.16,0.01,0,hybrid,hybrid,19,0.3378903959764828,0.4418233249494353,0.9062127787118641,,,sqrt((theta1 - theta2)*(0.557125456370198*x1 + 0.58480670420506*x2)**2),
gen_log,I.29.16,0.01,0,hybrid,hybrid,20,0.33789039597647946,0.4101184125539682,0.9062127787118641,,,sqrt((theta1 - theta2)*(0.557125456370198*x1 + 0.58480670420506*x2)**2),
gen_log,I.29.16,0.01,0,hybrid,hybrid,21,0.33789039597647946,0.6407063645939073,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,22,0.33789039597647946,0.4970319315532966,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,23,0.33789039597647946,0.4598444509224715,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,24,0.33789039597647946,0.5049675743546818,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,25,0.33789039597647946,0.5364958045644134,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,26,0.33789039597647946,0.49031008371047735,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,27,0.33789039597647946,0.47468128128583936,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,28,0.33789039597647946,0.5275477325954133,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,29,0.33789039597647946,0.4070746687939446,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,30,0.33789039597647946,0.5534690108736988,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,31,0.33789039597647946,0.41915619848468655,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,32,0.33789039597647946,0.6323609688660782,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,33,0.33789039597647946,0.5084181935575663,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,34,0.33789039597647946,0.42176697648138256,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,35,0.33789039597647946,0.5061556160241973,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,36,0.33789039597647946,0.4059124134459323,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,37,0.33789039597647946,0.4278866107936752,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,38,0.33789039597647946,0.4232114014112049,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,39,0.33789039597647946,0.553679735736657,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,40,0.33789039597647946,0.7639987560195517,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,41,0.33789039597647946,1.0492870179358897,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,42,0.33789039597647946,0.6307736522291886,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,43,0.33789039597647946,0.7242579799467798,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,44,0.33789039597647946,0.9526781992927659,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,45,0.33789039597647946,0.7197403060088071,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,46,0.33789039597647946,0.720475678679338,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,47,0.33789039597647946,0.8687375504699297,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,48,0.33789039597647946,0.7811412288440861,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,49,0.33789039597647946,0.791578177635278,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
gen_log,I.29.16,0.01,0,hybrid,hybrid,50,0.33789039597647946,0.7547602373951794,0.905541089520012,,,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),
trial_summary,I.29.16,0.01,0,hybrid,hybrid,,0.3378904463327644,,0.905541089520012,22,False,sqrt((theta1 - theta2)*(0.529444208535336*x1 + 0.58480670420506*x2)*(0.557125456370198*x1 + 0.58480670420506*x2)),149.03237870000157
